--- asteroids vs asteroids ---
2 10 0.00348267 0.379078
2 11 0.611875 0.351439
2 12 0.0547223 0.117516
2 13 0.00583299 -0.616957
2 14 0.0306291 -0.574942
2 15 0.0040998 -0.278444
2 16 0.00339812 -0.65663
2 17 0.0635762 0.57278
2 18 0.00500734 0.331484
2 19 0.00588415 0.182372
2 20 0.0103385 -0.511105
2 21 0.00683023 0.689835
2 22 0.00266979 0.667994
2 23 0.0371034 0.617706
2 24 0.00331166 -0.721191
2 25 0.0869399 0.173777
2 26 0.0033849 -0.159232
2 27 0.0473082 -0.210935
2 28 0.00374486 -0.0168451
2 29 0.386202 0.561058
2 30 0.00508216 0.0821551
2 31 0.00789974 0.755622
2 32 0.00358299 -0.0382185
2 33 0.00284238 -0.753325
2 34 0.00450677 -0.619798
2 35 0.00374623 -0.316613
2 36 0.00863529 0.675178
2 37 0.123377 0.690609
2 38 0.0949725 0.782096
2 39 0.00408979 -0.542225
2 40 0.00236616 -0.15663
2 41 0.075158 -0.0513068
2 42 0.00392215 -0.351686
2 43 0.00766187 -0.576819
2 44 0.00196556 -0.236667
2 45 0.00210041 -0.189946
2 46 0.005414 -0.590211
2 47 0.00274663 -0.105478
2 48 0.0147805 0.38074
2 49 0.00624148 -0.62028
2 50 0.0237661 0.442525
2 51 0.0169402 0.491304
2 52 0.00519077 -0.701604
2 53 0.00538614 0.293431
2 54 0.00538376 0.219754
2 55 0.00151961 -0.287621
2 56 0.80039 -0.0209074
2 57 0.00536032 -0.684987
2 58 0.0181962 0.454396
2 59 0.0820814 0.415987
2 60 0.00518123 0.476623
2 61 0.0362049 0.217075
2 62 0.00293909 -0.524972
2 63 0.00298884 0.607603
2 64 0.0592455 -0.15096
2 65 0.0350238 0.500759
2 66 0.0200296 -0.612514
2 67 0.00180734 -0.330083
2 68 0.00318308 0.593121
2 69 0.0087405 0.254028
2 70 0.00604966 0.772118
2 71 0.00283333 -0.647504
2 72 0.146143 -0.474343
2 73 0.0123034 0.0688002
2 74 0.0104726 -0.0307619
2 75 0.00263271 -0.633234
2 76 0.00645672 -0.722526
2 77 0.00540684 -0.0604616
2 78 0.00211333 -0.690323
2 79 0.140171 0.211115
2 80 0.0394735 -0.116624
2 81 0.00339672 -0.321427
2 82 0.0126925 0.440479
2 83 0.00302994 -0.220991
2 84 0.00185313 -0.120908
2 85 1.08371 -0.482074
2 86 0.00324029 -0.0926894
2 87 0.00439192 -0.744618
2 88 0.00300185 0.570474
2 89 0.00342553 -0.0746392
2 90 0.00372308 0.624158
2 91 0.00227298 -0.587735
2 92 0.0036139 -0.358552
2 93 0.0268129 0.346097
2 94 0.0030957 0.252623
2 95 0.00355604 -0.408061
2 96 0.0591072 -0.476737
2 97 0.0269431 0.628383
2 98 0.003432 -0.608782
2 99 0.00813937 -0.729075
3 4 0.00464929 -0.111871
3 5 0.0029247 0.243904
3 6 0.00380768 -0.617429
3 7 0.00381428 0.125788
3 8 0.00511934 0.315503
3 9 0.00338974 -0.740824
3 10 0.00489586 -0.747357
3 11 0.0261541 0.286518
3 12 0.0126687 0.200235
3 13 0.00671926 -0.306413
3 14 0.0546952 0.484261
3 15 0.00328588 -0.644821
3 16 0.00298859 -0.00485901
3 17 0.0377927 -0.501297
3 18 0.00692842 -0.538011
3 19 0.00882364 -0.656285
3 20 0.00564338 -0.25122
3 21 0.0127053 0.188898
3 22 0.0038129 0.666747
3 23 0.0363688 -0.757366
3 24 0.00253258 -0.50613
3 25 0.120776 -0.414915
3 26 0.00230057 -0.0646475
3 27 0.0222002 0.470408
3 28 0.00242394 0.0503867
3 29 0.0613445 -0.0420205
3 30 0.00757648 -0.748468
3 31 0.012384 -0.356838
3 32 0.00231674 0.0343528
3 33 0.00281211 -0.471105
3 34 0.00318601 -0.405666
3 35 0.00250728 -0.178401
3 36 0.0167454 0.699648
3 37 0.0183823 0.538701
3 38 0.0581809 -0.400241
3 39 0.0047587 -0.674275
3 40 0.00205426 -0.667825
3 41 0.024683 0.132252
3 42 0.00266387 -0.207435
3 43 0.00467477 -0.32464
3 44 0.00175053 -0.707954
3 45 0.00184582 -0.685573
3 46 0.00364182 -0.367468
3 47 0.00310357 -0.699007
3 48 0.0221681 -0.566701
3 49 0.0055333 -0.128493
3 50 0.376644 0.460039
3 51 0.121106 0.173474
3 52 0.00373415 -0.464973
3 53 0.0064186 -0.716906
3 54 0.00304261 0.23398
3 55 0.00138568 -0.739606
3 56 0.0300698 0.217159
3 57 0.00373348 -0.44052
3 58 0.154933 0.0436736
3 59 0.0162135 0.546169
3 60 0.00826349 -0.781782
3 61 0.110311 -0.578986
3 62 0.00257567 -0.760824
3 63 0.0041051 -0.183758
3 64 0.0311161 0.572883
3 65 0.733288 -0.474951
3 66 0.00929695 -0.25782
3 67 0.0016259 -0.73964
3 68 0.00461517 0.157183
3 69 0.0153044 -0.592186
3 70 0.0106254 0.680548
3 71 0.00308083 -0.319824
3 72 0.0369036 0.769339
3 73 0.00561085 0.140587
3 74 0.00925112 -0.134202
3 75 0.00278109 -0.0239697
3 76 0.00435456 -0.448673
3 77 0.00327436 0.0259148
3 78 0.00198449 -0.153615
3 79 0.189927 0.336731
3 80 0.010868 0.079655
3 81 0.00287485 -0.691528
3 82 0.0310813 -0.041793
3 83 0.0025141 -0.654308
3 84 0.00162693 -0.665018
3 85 0.0449608 0.0799747
3 86 0.00372763 -0.0395876
3 87 0.00382713 -0.0167171
3 88 0.00353161 -0.51095
3 89 0.00273629 -0.592177
3 90 0.00503328 -0.568045
3 91 0.00209926 -0.0719473
3 92 0.00301027 -0.688203
3 93 0.00950663 0.630763
3 94 0.00200191 0.256737
3 95 0.00407247 -0.685319
3 96 0.026921 -0.430997
3 97 0.225534 -0.152665
3 98 0.00298521 -0.769939
3 99 0.00518754 -0.42806
4 5 0.0201655 0.690556
4 6 0.0156649 0.371443
4 7 0.0668942 0.355677
4 8 0.025077 -0.551508
4 9 0.00947528 0.577982
4 10 0.00263543 0.717461
4 11 0.0101707 -0.359111
4 12 0.0207238 -0.520443
4 13 0.00492596 0.739123
4 14 0.00388294 -0.383658
4 15 0.0124361 0.78477
4 16 0.00739601 0.678988
4 17 0.0088034 0.0745745
4 18 0.00356608 0.669832
4 19 0.00356626 0.569349
4 20 0.155383 0.717207
4 21 0.00322132 0.422443
4 22 0.00202822 0.717756
4 23 0.00791835 0.176064
4 24 0.0147521 -0.0422416
4 25 0.00641123 -0.0422584
4 26 0.0236864 0.041968
4 27 0.005467 -0.575028
4 28 0.0251838 0.442923
4 29 0.00879115 -0.138603
4 30 0.00325549 0.601907
4 31 0.0041331 0.490664
4 32 0.0257453 0.401781
4 33 0.00452665 0.335243
4 34 0.031715 -0.448134
4 35 0.0407946 -0.386592
4 36 0.00371354 0.383495
4 37 0.00801688 -0.528427
4 38 0.00757772 -0.00785599
4 39 0.0039594 0.172247
4 40 0.00624391 -0.62654
4 41 0.00608691 -0.535867
4 42 0.0390758 -0.490556
4 43 0.0984658 0.119879
4 44 0.00473389 -0.708994
4 45 0.00530547 -0.628311
4 46 0.0511645 -0.540663
4 47 0.00314641 0.635768
4 48 0.00576271 0.364797
4 49 0.00917987 0.377409
4 50 0.0039233 -0.0200442
4 51 0.00359646 0.0331905
4 52 0.0293471 -0.651718
4 53 0.00471315 0.000270657
4 54 0.0244458 0.643438
4 55 0.00337616 -0.534659
4 56 0.0114609 -0.315074
4 57 0.0345291 -0.0464608
4 58 0.00365171 0.0118814
4 59 0.00928354 -0.599066
4 60 0.00299156 0.537735
4 61 0.00538511 0.0662274
4 62 0.00688409 0.351424
4 63 0.00237997 0.758869
4 64 0.00553825 -0.509425
4 65 0.00441164 -0.0392064
4 66 0.0529869 0.247012
4 67 0.00418705 -0.0814203
4 68 0.00234981 0.694493
4 69 0.00398938 0.421171
4 70 0.00311459 0.467503
4 71 0.00357474 0.133463
4 72 0.00656428 -0.447296
4 73 0.0694883 -0.563023
4 74 0.0100116 0.673418
4 75 0.00358954 0.529822
4 76 0.0382448 0.759933
4 77 0.0636419 0.547443
4 78 0.00417081 0.747463
4 79 0.005957 -0.189653
4 80 0.0267354 -0.418699
4 81 0.00921886 -0.758223
4 82 0.00388669 0.250559
4 83 0.00895917 -0.558995
4 84 0.00471305 -0.751109
4 85 0.00926312 -0.199536
4 86 0.00350654 0.481912
4 87 0.00896738 0.733489
4 88 0.00312959 0.427843
4 89 0.0119372 -0.355507
4 90 0.00287065 0.727712
4 91 0.00474271 -0.246591
4 92 0.00989482 0.435557
4 93 0.00901313 -0.116985
4 94 0.0107504 0.240287
4 95 0.00376732 0.387591
4 96 0.0112762 0.095011
4 97 0.00432064 0.0272504
4 98 0.00774697 0.108063
4 99 0.044697 0.677676
5 6 0.004391 0.606746
5 7 0.0646443 0.757893
5 8 0.0375348 0.0463087
5 9 0.00335263 0.742594
5 10 0.00145525 0.0504012
5 11 0.00579813 0.223575
5 12 0.0103398 0.283884
5 13 0.00218878 0.140288
5 14 0.00297129 0.0139711
5 15 0.00392224 0.309705
5 16 0.00282407 0.0228281
5 17 0.00398421 0.468938
5 18 0.00182482 0.00321753
5 19 0.00183244 0.718034
5 20 0.010922 0.451116
5 21 0.00175392 0.607734
5 22 0.00117497 0.0373912
5 23 0.00359669 0.515636
5 24 0.004671 0.0963071
5 25 0.00346048 0.349116
5 26 0.0227574 -0.698993
5 27 0.00452207 -0.0701528
5 28 0.0568333 -0.481995
5 29 0.00462821 0.322497
5 30 0.00171182 0.736012
5 31 0.0020838 0.669923
